Status,Station Name,Observation Date,Latitude,Longitude,Start Time,End Time,Air Temperature,Wind,Precipitation During Visit,Precipitation in the last 48 hours,The temperature the last 48 hours has been,Species,Call Intensity,Observation Notes,City,County,State,Characterize Land Use,Site Habitat,Wetland Origin,Water Presence,Water Source,Description,Directions To Site
,Sunset Zoo pond,2022-07-08,39.17746,-96.595663,09:57 pm,10:00 pm,25.56,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Cope's Gray Treefrog,1 - Individuals can be counted; there is space between calls,,Manhattan,Riley,Kansas,Suburban,Pond,Human-made,Permanent,Not Known,Small man-made pond on zoo grounds,"Take the Africa trail that runs along the Cheetah exhibit, heading toward the chimp/colobus. "
,Tall Trees,2022-07-08,28.921575,-82.00516,10:38 pm,10:41 pm,25.56,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Greenhouse Frog,1 - Individuals can be counted; there is space between calls,"Showers earlier this evening, surprised it was so quiet during monitoring. Only heard 1 or 2 frogs.",,,Florida,Suburban,Pond,Human-made,Permanent,Not Known,,
,214 Surrey Drive,2022-07-08,41.290561,-73.034115,09:41 pm,09:44 pm,23.33,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,,Orange,,Connecticut,Suburban,Pond,Natural,Temporary Every Year,Precipitation or Runoff,"Property contains both pond and stream water. Stream runs along back of property, while pond is towards the front.     ",
,Sandy Creek Bird Blind,2022-07-08,33.985183,-83.379845,09:26 pm,09:29 pm,27,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Much Precipitation,Above Freezing,Northern Cricket Frog Complex,"3 - Full chorus, calls are constant, continuous and overlapping",Melissa Lucy and Will,Athens,Clarke,Georgia,,Pond,Human-made,Permanent,Pond,,
,Sandy Creek Bird Blind,2022-07-08,33.985183,-83.379845,09:26 pm,09:29 pm,27,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Much Precipitation,Above Freezing,Green Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",Melissa Lucy and Will,Athens,Clarke,Georgia,,Pond,Human-made,Permanent,Pond,,
,SMR-Elmdale Peace Circle Vernal Pools,2022-07-08,40.74656,-74.30409,08:45 pm,09:10 pm,25.56,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,,Miilburn,Essex County,New Jersey,Suburban,Vernal Pool,Natural,Temporary Every Year,Not Known,Northern and southern section of station. Northern pond is larger. Both active,Park at Dogwood Hillside. Turn right on Elmdale. Southern and Northern section of station. Northern is larger.
,SMR-Elmdale Peace Circle Vernal Pools,2022-07-08,40.74656,-74.30409,08:45 pm,09:10 pm,25.56,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Spring Peeper,1 - Individuals can be counted; there is space between calls,,Miilburn,Essex County,New Jersey,Suburban,Vernal Pool,Natural,Temporary Every Year,Not Known,Northern and southern section of station. Northern pond is larger. Both active,Park at Dogwood Hillside. Turn right on Elmdale. Southern and Northern section of station. Northern is larger.
,Case Mountain Park,2022-07-08,41.754651,-72.476227,08:57 pm,09:00 pm,25.56,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,MANCHESTER,Hartford,Connecticut,Suburban,Swamp or Woodland Swamp,Natural,Temporary Some Years,Stream or River,,229 Dennison Ridge Drive
,Tallmadge Meadows Area - Summit Metro Parks,2022-07-08,41.130977,-81.43472,09:33 pm,09:36 pm,22.78,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,One green frog. One croak. That was it.,Tallmadge,Summit,Ohio,Metro Park,Wet Meadow,Natural,Temporary Every Year,Not Known,Wet Meadow bordered by a Wooded area and a busy roadway,"1088 North Ave., Tallmadge 44278. Follow south path to tree line."
,Gunntown,2022-07-08,41.482655,-73.102616,11:54 pm,11:59 pm,17.78,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,,Naugatuck,New Haven,Connecticut,Rural,Swamp or Woodland Swamp,Artifically Altered,Permanent,Stream or River,Originally a swamp fed by 1 stream. Some excavation done 40+ years ago to include a second stream to make a pond but was never finished.,
,Lake Talbott Kansas State Fair,2022-07-08,38.07808,-97.931185,09:42 pm,09:45 pm,27.22,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,,Hutchinson,Reno,Kansas,Urban,Pond,Human-made,Permanent,Groundwater,"Trees around it, grass, rocks around the edge; water level changes with rainfall","Enter Fairgrounds at 20th & Poplar Entrance, Park at boat ramp. East of Sunflower North, South of Cabin and Scout Buildings. Ft Levenworth ave, 2 tenths of a mile, lake talbott road on the left. survey on dock off ramp. "
,Black Willow Springs,2022-07-08,38.867179,-78.223686,10:00 pm,10:03 pm,26.67,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Upland Chorus Frog,"3 - Full chorus, calls are constant, continuous and overlapping",,Front Royal,Warren,Virginia,Rural, ,Natural,Permanent,Stream or River,"small stream and wet area formed just downstream of natural springs, where mountian greenstone changes to valley limestone","Poor House Rd, near junction with Browntown Rd."
,Black Willow Springs,2022-07-08,38.867179,-78.223686,10:00 pm,10:03 pm,26.67,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Eastern Cricket Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Front Royal,Warren,Virginia,Rural, ,Natural,Permanent,Stream or River,"small stream and wet area formed just downstream of natural springs, where mountian greenstone changes to valley limestone","Poor House Rd, near junction with Browntown Rd."
,Black Willow Springs,2022-07-08,38.867179,-78.223686,10:00 pm,10:03 pm,26.67,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Cope's Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",,Front Royal,Warren,Virginia,Rural, ,Natural,Permanent,Stream or River,"small stream and wet area formed just downstream of natural springs, where mountian greenstone changes to valley limestone","Poor House Rd, near junction with Browntown Rd."
,Stream at St. Stephen's Episcopal Church,2022-07-08,42.266186,-71.618408,09:01 pm,09:04 pm,25.56,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,fireflies!,Westborough,Worcester,Massachusetts,Suburban,Ditch,Artifically Altered,Permanent,Stream or River,"A natural stream in ""downtown"" Westborough, long ago altered at this point as a ditch and channeled to run parallel to Blake St, alongside St Stephen's Episcopal Church, flows eastward. The stream is greatly covered at this point with trees and natural shrubs.",Take I-495 to Rt-9 West to Rt-30 West to Westborough Rotary to W.Main St to Blake St.
,Sandra Pond Reservoir,2022-07-08,42.243693,-71.60416,09:20 pm,09:23 pm,25,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,"fireflies, mosquitos and crickets!",Westborough,Worcester,Massachusetts,Suburban,Pond,Human-made,Permanent,Pond,Sandra Pond Reservoir has been a Westborough town water supply reservoir for over a century. The pond and surrounding area was purchased by Westborough from Frank Sandra in the 1870s and converted to part of town water supply. ,I-495 to Rt-9 to Rt-30 to the Westborough rotary (traffic circle) to Rt-135 East (South Street) to Upton Rd. Go 1 mile. Turn right on Bowman Rd and use parking at Sandra Pond Reservoir.
,Sandra Pond Reservoir,2022-07-08,42.243693,-71.60416,09:20 pm,09:23 pm,25,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,"fireflies, mosquitos and crickets!",Westborough,Worcester,Massachusetts,Suburban,Pond,Human-made,Permanent,Pond,Sandra Pond Reservoir has been a Westborough town water supply reservoir for over a century. The pond and surrounding area was purchased by Westborough from Frank Sandra in the 1870s and converted to part of town water supply. ,I-495 to Rt-9 to Rt-30 to the Westborough rotary (traffic circle) to Rt-135 East (South Street) to Upton Rd. Go 1 mile. Turn right on Bowman Rd and use parking at Sandra Pond Reservoir.
,Delano Steele Rd. Wetland,2022-07-08,43.1564,-78.1601,09:30 pm,09:33 pm,22,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,People were yelling and screaming in the distance. Very buggy.,Elba,Orleans,New York,Rural,Near a Freshwater Forested/Shrub Wetland,Not Known,Not Known,Precipitation or Runoff,Listening from a residential property about 250 feet from a Freshwater Forested/Shrub Wetland mostly surrounded by farmland,"14766 Delano Steele Rd., southwest corner of the property"
,Leach pond,2022-07-08,38.895876,-78.150473,09:36 pm,09:39 pm,24.44,0 - CALM: smoke rises vertically,Fog or Mist,Some Precipitation,Above Freezing,Green Frog,"3 - Full chorus, calls are constant, continuous and overlapping",Bats hawking insects over pond (3),Front Royal,Warren,Virginia,Rural,Pond,Human-made,Permanent,Pond,Fairly large pond with several water sources that run into it then into a stream called Leach's run that eventually empties into the Shennandoah river.,"Located on Smithsonian's Conservation Biology Institute- no public access.
1500 Remount Rd
Front Rpyal, Va. 22630"
,Leach pond,2022-07-08,38.895876,-78.150473,09:36 pm,09:39 pm,24.44,0 - CALM: smoke rises vertically,Fog or Mist,Some Precipitation,Above Freezing,American Bullfrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,Bats hawking insects over pond (3),Front Royal,Warren,Virginia,Rural,Pond,Human-made,Permanent,Pond,Fairly large pond with several water sources that run into it then into a stream called Leach's run that eventually empties into the Shennandoah river.,"Located on Smithsonian's Conservation Biology Institute- no public access.
1500 Remount Rd
Front Rpyal, Va. 22630"
,Rivinus pond,2022-07-08,38.882715,-78.13777,09:24 pm,09:27 pm,24.44,0 - CALM: smoke rises vertically,Fog or Mist,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,Fox observed along road to pond with a ground hog kill in her mouth (fox den located near pond),Front Royal,Warren,Virginia,Rural,Pond,Human-made,Permanent,Precipitation or Runoff,a small shallow pond surrounded by pampas grass and smaller ornamental trees. Located within a barn complex that houses exotic deer.,"Located on Smithsonian Conservation Biology Institute. not open to the public.
1500 Remoujnt Rd, Front Royal Va. 22630"
,Warner Park,2022-07-08,39.174,-96.61667,10:20 pm,10:23 pm,25,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,,Manhattan,Riley,Kansas,Suburban,Pond,Human-made,Permanent,Not Known,Small pond at Warner Park,"Park car in Warner park parking lot.  Take the trail to the left, it runs right into the pond."
,Warner Park,2022-07-08,39.174,-96.61667,10:20 pm,10:23 pm,25,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Northern Cricket Frog Complex,"3 - Full chorus, calls are constant, continuous and overlapping",,Manhattan,Riley,Kansas,Suburban,Pond,Human-made,Permanent,Not Known,Small pond at Warner Park,"Park car in Warner park parking lot.  Take the trail to the left, it runs right into the pond."
,Arnold's Apple Orchard Pond,2022-07-08,42.236645,-71.598349,09:27 pm,09:30 pm,25,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,fireflies!,Westborough,Worcester,Massachusetts,Rural,Pond,Artifically Altered,Temporary Some Years,Precipitation or Runoff,"Old water pond, likely natural at some point long ago but augmented over the years by operations of the surrounding apple orchard (closed now for several years). Pond is about 100ft long by 30ft wide, and is located in Westborough, MA., alongside Spring Rd at the intersection with Lackey St. . Pond rarely dries out. Most years it contains water throughout spring/summer/fall. Freezes during winter.",Take I-495 in Massachusetts to Rt9 West to Rt30 West to Rt135 East to Upton Rd to Spring Rd.
,Arnold's Apple Orchard Pond,2022-07-08,42.236645,-71.598349,09:27 pm,09:30 pm,25,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,fireflies!,Westborough,Worcester,Massachusetts,Rural,Pond,Artifically Altered,Temporary Some Years,Precipitation or Runoff,"Old water pond, likely natural at some point long ago but augmented over the years by operations of the surrounding apple orchard (closed now for several years). Pond is about 100ft long by 30ft wide, and is located in Westborough, MA., alongside Spring Rd at the intersection with Lackey St. . Pond rarely dries out. Most years it contains water throughout spring/summer/fall. Freezes during winter.",Take I-495 in Massachusetts to Rt9 West to Rt30 West to Rt135 East to Upton Rd to Spring Rd.
,hospital ponds,2022-07-08,38.923328,-78.153092,10:01 pm,10:04 pm,25,0 - CALM: smoke rises vertically,Fog or Mist,Some Precipitation,Above Freezing,Green Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",Green frogs also heard calling from storm drains in road adjacent to pond.,Front Royal,Warren,Virginia,Rural,Pond,Human-made,Not Known,Precipitation or Runoff,"group of 3 man-made catch ponds below Warren memorial hospital created in spring 2021, 2 smaller ponds flowing into one larger pond with overflow drain.","Take rt 55 to Leaches Run rd, ponds are below hospital on north side along the road 1 mile along the road on right side. Or take Happy Creek road to Leaches Run rd, ponds are 3 tenths mile down road on left side."
,hospital ponds,2022-07-08,38.923328,-78.153092,10:01 pm,10:04 pm,25,0 - CALM: smoke rises vertically,Fog or Mist,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,Green frogs also heard calling from storm drains in road adjacent to pond.,Front Royal,Warren,Virginia,Rural,Pond,Human-made,Not Known,Precipitation or Runoff,"group of 3 man-made catch ponds below Warren memorial hospital created in spring 2021, 2 smaller ponds flowing into one larger pond with overflow drain.","Take rt 55 to Leaches Run rd, ponds are below hospital on north side along the road 1 mile along the road on right side. Or take Happy Creek road to Leaches Run rd, ponds are 3 tenths mile down road on left side."
,BRP_1,2022-07-08,39.50899,-105.29936,09:03 pm,09:06 pm,22.22,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,,,Jefferson,Colorado,Suburban,Pond,,,,,
,SMR-High Water Bypass,2022-07-08,40.75255,-74.2923,08:45 pm,09:10 pm,25.56,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,Believe most of this pond has dried up.  Nothing visible from trail. ,South Orange,Essex County,New Jersey,Suburban,Vernal Pool,Natural,Temporary Every Year,Not Known,Just off the High Water Bypass Trail in between the trail and Rahway River. ,Park at Tulip Springs or off South Orange Ave. Follow unmarked path down to High Water Bypass trail and head left. Site on right side of trail. 
,Province Lake Dock,2022-07-08,43.685133,-71.00725,10:47 pm,10:50 pm,18.89,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,,Wakefield,Carroll,New Hampshire,Rural,Lake,Natural,Permanent,Lake,"Water source: It's fed by small streams, springs (groundwater), precipitation, and runoff.","Rt. 95 North into New Hampshire  Rt. 16 North into town of Wakefield  Right turn onto Rt. 153 North  When arrive at Province Lake, turn left onto Bonnyman Road  "
,Province Lake Dock,2022-07-08,43.685133,-71.00725,10:47 pm,10:50 pm,18.89,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,American Toad,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Wakefield,Carroll,New Hampshire,Rural,Lake,Natural,Permanent,Lake,"Water source: It's fed by small streams, springs (groundwater), precipitation, and runoff.","Rt. 95 North into New Hampshire  Rt. 16 North into town of Wakefield  Right turn onto Rt. 153 North  When arrive at Province Lake, turn left onto Bonnyman Road  "
,Province Lake Island Inlet 2,2022-07-08,43.68236,-71.0007,10:36 pm,10:39 pm,18.33,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,,Wakefield,Carroll,New Hampshire,Rural,"Water source: It has a small stream running through it and is also fed by groundwater, precipitation, and runoff.    Site named for existing “Island Inlet” VLAP water sampling point at culvert.",Natural,Permanent,Precipitation or Runoff,,"Rt. 95 North into New Hampshire  Rt. 16 North into town of Wakefield  Right turn onto Rt. 153 North  When arrive at Province Lake, turn left onto Bonneyman Road  Immediately after passing Sunset Road on the right, drive down the hill on Bonneyman Road and stop at the culvert at the base of the hill.  The target swamp is inland of the road.  Listen from road."
,South River Marsh at Province Lake Outlet,2022-07-08,43.70045,-70.998217,10:18 pm,10:21 pm,17.22,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,None,No Precipitation,Above Freezing,Green Frog,"3 - Full chorus, calls are constant, continuous and overlapping",,Effingham,Carroll,New Hampshire,Rural,Freshwater Marsh,Natural,Permanent,Stream or River,"
This South River drains Province Lake. It flow beside Bailey Road for a couple hundred feet, then passes through a culvert an into an extensive wetland complex, where it winds back and forth. Lots of beavers make dams in there. I've canoed the whole thing. Listen atop the culvert.
","
Rt. 95 North into New Hampshire Rt. 16 North into town of Wakefield Right turn onto Rt. 153 North Enter State of Maine while driving along edge of Province Lake Rt. 153 will pass through Province Lake golf course, then soon straddle state line. Turn left on Bailey Road (into NH), not too far from the golf course (not measured). Drive until lake appears immediately to your left. Continue until lake is no longer immediately next to road and park soon. Listen atop the culvert where the South River flows under Bailey Road
"
,South River Marsh at Province Lake Outlet,2022-07-08,43.70045,-70.998217,10:18 pm,10:21 pm,17.22,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,None,No Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,,Effingham,Carroll,New Hampshire,Rural,Freshwater Marsh,Natural,Permanent,Stream or River,"
This South River drains Province Lake. It flow beside Bailey Road for a couple hundred feet, then passes through a culvert an into an extensive wetland complex, where it winds back and forth. Lots of beavers make dams in there. I've canoed the whole thing. Listen atop the culvert.
","
Rt. 95 North into New Hampshire Rt. 16 North into town of Wakefield Right turn onto Rt. 153 North Enter State of Maine while driving along edge of Province Lake Rt. 153 will pass through Province Lake golf course, then soon straddle state line. Turn left on Bailey Road (into NH), not too far from the golf course (not measured). Drive until lake appears immediately to your left. Continue until lake is no longer immediately next to road and park soon. Listen atop the culvert where the South River flows under Bailey Road
"
,Atwater Road Well,2022-07-08,43.6988,-70.9625,10:03 pm,10:06 pm,16.67,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,,Parsosnfield,York,Maine,Rural,Small pond adjacent to a large wet meadow,Human-made,Permanent,Precipitation or Runoff,"Pond dug about 4 yrs ago always has water by piercing the water table. It also is fed by a man-made stream that runs most of the year, but can dry up in dry summers.  The meadow is wet every year, but can dry up in dry summers.  Meadow created about 10-15 years ago when forest cleared and stumped and planted as meadow. Everything is also fed by precipitation and runoff. Official lat/long is at listening post (an actual granite hitching post) near road between barn and well located beside road. Nearest edge of impassible wet meadow close to pond is at 43.6975, -70.9650, with much more wet meadow between here and the listening post.","Rt. 95 North into New Hampshire  Rt. 16 North into town of Wakefield  Right turn onto Rt. 153 North  Enter State of Maine while driving along edge of Province Lake  Rt. 153 will soon straddle state line, then makes a sharp left at the crossroads of “Taylor City” at 43.7119, -70.9819  AT THIS INTERSECTION, turn right onto Stagecoach Road.  Stop at 312 Stagecoach Road when there is a fieldstone well with a wooden roof bearing a sign that says “Atwater Road Well”."
,Lost Mile Road,2022-07-08,43.677167,-70.962417,09:50 pm,09:53 pm,17.22,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,"Green frogs were downstream of the road, The toad was upstream in the big wetland.",Parsonsfield,York,Maine,Rural,Swamp or Woodland Swamp,Natural,Permanent,Stream or River,"This South River flows INTO Province Lake. This location is in the upper reaches, where Lost Mile Road crosses the swamp with the stream (South River) running through it. Swamp both sides of road, but mostly uphill. Listen near the culvert.","Rt. 95 North into New Hampshire Rt. 16 North into town of Wakefield Right turn onto Rt. 153 North Enter State of Maine while driving along edge of Province Lake When leaving lake edge you will be at the Province Lake golf course, both sides of road. Turn right onto paved Mountain Road, where there is a sign for the golf course. Go to first 4-way intersection and turn right onto Lost Mile Road. (Left turn would be onto Stagecoach Road). At intersection with Shore Acres Road, continue on Lost Mile Road for 0.4 mile and park. Listen at low point in road where the headwaters of the South River flow through culvert, en route to Province Lake.
"
,Lost Mile Road,2022-07-08,43.677167,-70.962417,09:50 pm,09:53 pm,17.22,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,American Toad,1 - Individuals can be counted; there is space between calls,"Green frogs were downstream of the road, The toad was upstream in the big wetland.",Parsonsfield,York,Maine,Rural,Swamp or Woodland Swamp,Natural,Permanent,Stream or River,"This South River flows INTO Province Lake. This location is in the upper reaches, where Lost Mile Road crosses the swamp with the stream (South River) running through it. Swamp both sides of road, but mostly uphill. Listen near the culvert.","Rt. 95 North into New Hampshire Rt. 16 North into town of Wakefield Right turn onto Rt. 153 North Enter State of Maine while driving along edge of Province Lake When leaving lake edge you will be at the Province Lake golf course, both sides of road. Turn right onto paved Mountain Road, where there is a sign for the golf course. Go to first 4-way intersection and turn right onto Lost Mile Road. (Left turn would be onto Stagecoach Road). At intersection with Shore Acres Road, continue on Lost Mile Road for 0.4 mile and park. Listen at low point in road where the headwaters of the South River flow through culvert, en route to Province Lake.
"
,Province Lake Golf Course,2022-07-08,43.693317,-70.9691,09:34 pm,09:37 pm,18.89,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,Lots of fireflies.,Parsonsfield,York,Maine,Rural,Swamp or Woodland Swamp,Natural,Permanent,Not Known,"One side of the road is golf course. The other side is all woods. At this location there is a swamp in the woods, which drains through a culvert under Mountain Road into a tiny pond, then an underground stream. Water source is a combination of small streams, precipitation, and groundwater. Listen atop the culvert.","
Rt. 95 North into New Hampshire Rt. 16 North into town of Wakefield Right turn onto Rt. 153 North Enter State of Maine while driving along edge of Province Lake When leaving lake edge you will be at the Province Lake golf course, both sides of road. Turn right onto paved Mountain Road, where there is a sign for the golf course. Go 0.4 mile from Rt. 153 and park at intersection with Emery Road (private), dirt road on right. Walk ~100 feet further along Mountain Road to culvert to listen.
"
,Province Lake Golf Course,2022-07-08,43.693317,-70.9691,09:34 pm,09:37 pm,18.89,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,Lots of fireflies.,Parsonsfield,York,Maine,Rural,Swamp or Woodland Swamp,Natural,Permanent,Not Known,"One side of the road is golf course. The other side is all woods. At this location there is a swamp in the woods, which drains through a culvert under Mountain Road into a tiny pond, then an underground stream. Water source is a combination of small streams, precipitation, and groundwater. Listen atop the culvert.","
Rt. 95 North into New Hampshire Rt. 16 North into town of Wakefield Right turn onto Rt. 153 North Enter State of Maine while driving along edge of Province Lake When leaving lake edge you will be at the Province Lake golf course, both sides of road. Turn right onto paved Mountain Road, where there is a sign for the golf course. Go 0.4 mile from Rt. 153 and park at intersection with Emery Road (private), dirt road on right. Walk ~100 feet further along Mountain Road to culvert to listen.
"
,Pine Brook,2022-07-07,41.425642,-72.866118,09:08 pm,09:11 pm,21.67,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,Surprised that no species were heard. ,North Haven,New Haven,Connecticut,Rural,Pond,Natural,Permanent,Stream or River,"Pine Brook is a stream that flows generally west to east. There is a pond located to the west that has a small dam. Water flows over the dam and continues east. The observation area is located east and downstream of this dam. The area is bordered by an old farmer’s field to the north and hilly, treed terrain to the south. Up the hill and further south is a housing development. ",Use the intersection of Mount Carmel Avenue and Chestnut Lane in Hamden. Park safely and walk south across Mount Carmel Avenue and across the old farmer’s field approximately 200’ to the Pine Brook stream. 
,3rd Creek on Victor Ashe Greenway mile marker 0.75,2022-07-07,35.988945,-84.002023,09:30 pm,09:33 pm,28,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Much Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,,Knoxville,Knox,Tennessee,Urban,Freshwater Marsh,Natural,Temporary Some Years,Stream or River,,
,Warrenville home,2022-07-07,41.78767,-72.17657,08:54 pm,08:57 pm,21.11,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,,Mansfield,Tolland,Connecticut,Rural,Swamp or Woodland Swamp,Natural,Permanent,Stream or River,Wetland by Mt. Hope River,Downhill thru forest from home
,Lick Creek Barton,2022-07-07,34.533889,-90.769077,03:49 am,03:52 am,25,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,Insects are very loud. Hard to hear over them,Barton,Phillips,Arkansas,Rural,Swamp or Woodland Swamp,Natural,Permanent,Stream or River,At Lick Creek trail head at Delta Heritage Trail State Park,"South of Barton, AR on Hwy 85 "
,Kay Center,2022-07-07,40.806928,-74.70927,09:05 pm,09:08 pm,20.56,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Gray Treefrog,1 - Individuals can be counted; there is space between calls,,Chester,Morris,New Jersey,Rural,Wet Meadow,Human-made,Temporary Every Year,Precipitation or Runoff,A grass meadow in a County park,
,Boneta Back Acre,2022-07-07,41.077397,-81.776806,10:55 pm,10:58 pm,18.33,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Much Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,"2 bullfrogs, distant,  1 due w, the other WWN. GF was to the S. Middle distance, probably a neighbor's pond. GTFs were mostly to the east.",Wadsworth,Medina,Ohio,Rural,Wet Meadow,Natural,Temporary Some Years,Stream or River,Acre of mostly untilled land bordered on two sides with small stream.  Runoff  water also collects in low spots on the land and some years dries up completely in the summer. ,Residential back acre on Boneta rd. in Sharon Township
,Boneta Back Acre,2022-07-07,41.077397,-81.776806,10:55 pm,10:58 pm,18.33,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Much Precipitation,Above Freezing,Green Frog (Subspecies - Northern),1 - Individuals can be counted; there is space between calls,"2 bullfrogs, distant,  1 due w, the other WWN. GF was to the S. Middle distance, probably a neighbor's pond. GTFs were mostly to the east.",Wadsworth,Medina,Ohio,Rural,Wet Meadow,Natural,Temporary Some Years,Stream or River,Acre of mostly untilled land bordered on two sides with small stream.  Runoff  water also collects in low spots on the land and some years dries up completely in the summer. ,Residential back acre on Boneta rd. in Sharon Township
,Boneta Back Acre,2022-07-07,41.077397,-81.776806,10:55 pm,10:58 pm,18.33,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Much Precipitation,Above Freezing,Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,"2 bullfrogs, distant,  1 due w, the other WWN. GF was to the S. Middle distance, probably a neighbor's pond. GTFs were mostly to the east.",Wadsworth,Medina,Ohio,Rural,Wet Meadow,Natural,Temporary Some Years,Stream or River,Acre of mostly untilled land bordered on two sides with small stream.  Runoff  water also collects in low spots on the land and some years dries up completely in the summer. ,Residential back acre on Boneta rd. in Sharon Township
