Status,Station Name,Observation Date,Latitude,Longitude,Observation Time,Observation Notes,Relative Humidity,Barometric Pressure,Air Temperature,Wind Direction ,Visibility ,Water Temperature,Turbidity,Secchi Depth,Width,Depth,Stream Discharge,Surface Water Appearance,Stream Bank Eroision,Water Type,Salinity,Conductivity,Dissolved Oxygen,Nitrate,Ammonia,Phosphate,pH,Biological Oxygen Demand,Total Dissolved Solids,Fecal Coliform,Dissolved Carbon Dioxide,Tolerant Macroinvertebrates,Less Sensitive Macroinvertebrates,Sensitive Macroinvertebrates,Total Index Value,Caddisfly (Trichoptera-Other),Mayfly (Ephemeroptera),Stonefly (Plecoptera),Watersnipe Flies (Diptera-Athericidae),Riffle Beetles (Elmidae),Water Pennies (Psephenidae),Gilled Snails (Viviparidae),Dobsonfies (Corydalinae),Fishflies (Chauliodinae),Netspinning Caddisfly (Trichoptera-Hydropsychidae),Damselflies (Zygoptera),Dragonflies (Anisoptera),Alderflies (Sialidae),Crayfish (Astacoidea),Scuds (Amphipoda),Aquatic Sowbugs (Isopoda),Clams (Sphaeriidae),Mussels (Palaeoheterodonta),Aquatic Worms (Oligochaeta),Black Flies (Diptera-Simuliidae),Midge Flies,Leeches (Hirundinea),Lunged Snails (Pulmonata),Other Macroinvertebrate,silt (mud),"sand (1/16"" - 1/4"" grains)","gravel (1/4"" - 2"" stones)","cobbles (2"" - 10"" stones)","boulders (> 10"" stones)",trees,shrubs,grass,bare soil,rocks,other
,Pickering Creek Audubon Center,2011-09-30,38.866854,-76.113227,,,,,24,,,23,,55,,,,,,,7,,3,0.5,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Port Isobel,2011-09-29,37.832723,-75.977229,,,,,23,,,25,,71.12,,,,,,,15,,7,,,1,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Point State Park,2011-09-28,39.218202,-76.418055,06:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,25.56,,,18.89,,25,,,,,,,0,,4,1,,,7.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Karen Noonan Center dock,2011-09-19,38.22037,-76.038584,,,,,,,,20,3.6,111.76,,,,,,,13,,10,0.7,,0.08,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-09-16,38.866854,-76.113227,,,,,15,,,23,,30,,,,,,,10,,2.5,0.5,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-09-02,38.866854,-76.113227,,,,,26,,,26,,51,,,,,,,5,,5.5,0.5,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-08-19,38.866854,-76.113227,,,,,25,,,28,,53,,,,,,,10,,6,0.5,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-08-12,38.866854,-76.113227,,,,,23,,,28,,36,,,,,,,10,,6,0.5,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Port Isobel,2011-08-05,37.832723,-75.977229,,,,,,,,27,,,,,,,,,15,,7,0.1,,0.1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-08-05,38.866854,-76.113227,,,,,27,,,29,,61,,,,,,,8,,6.5,0.5,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-07-29,38.866854,-76.113227,,,,,29,,,31,,30,,,,,,,5,,5.5,1.5,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Southeast Beach Port Isobel,2011-07-26,37.830835,-75.973023,,,,,26.67,,,28.33,,,,,,muddy,,,14,,7,0.1,,0,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-07-22,38.866854,-76.113227,,,,,31,,,32,,56,,,,,,,5,,5,0.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Port Isobel,2011-07-16,37.832723,-75.977229,,,,,,,,24,,,,,,,,,12,,7,0,,0.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taskinas Creek,2011-07-12,37.41317,-76.729009,,,,,,,,28.89,,27.94,,,,,,,14,,5,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VIMS Beach,2011-07-11,37.15035,-76.2924,,,,,,,,30.56,,60.96,,,,,,,20,,8,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-07-08,38.866854,-76.113227,,,,,29,,,29,,43,,,,,,,5,,6,0.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Waites Run,2011-07-07,39.077021,-78.578424,,,,,32.22,,,17,80,,,,,clear,35,,0,120,9,0.09,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a5d0a80a-9934-4200-adef-684a565c7f0f,2011-07-01,37.818819,-75.964526,,,,,,,,27,,,,,,,,,12.4,,7.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cod Harbor,2011-07-01,37.813669,-75.982894,,,,,,,,26.4,,,,,,,,,12.94,,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-06-30,38.866854,-76.113227,,,,,28,,,30,,36,,,,,,,5,,6,0.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-06-24,38.866854,-76.113227,,,,,26,,,27,,53,,,,,,,5,,6.5,0.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-06-17,38.866854,-76.113227,,,,,23,,,26,,58,,,,,,,5,,6,0.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-06-08,38.866854,-76.113227,,,,,25,,,27,,46,,,,,,,5,,4,0.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-06-03,38.866854,-76.113227,,,,,22,,,27,,56,,,,,,,5,,6,0.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-05-25,38.866854,-76.113227,,,,,24,,,26,,61,,,,,,,5,,6,0.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-05-19,38.866854,-76.113227,,,,,23,,,23,,53,,,,,,,9,,6,0.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-05-13,38.866854,-76.113227,,,,,18,,,21,,50.8,,,,,,,10,,6,0,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-05-06,38.866854,-76.113227,,,,,18,,,18,,61,,,,,,,10,,6,0.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-05-06,38.866854,-76.113227,,,,,19,,,19,,60.96,,,,,,,10,,5,0.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-05-06,38.866854,-76.113227,,,,,19,,,19,,60.96,,,,,,,10,,5,0.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Southern Tangier Sound,2011-05-01,37.836156,-75.961608,,,,,24,,,18,,,,,,,,,16,,8.09,0.1,,0.1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Southern Tangier Sound,2011-05-01,37.836156,-75.961608,,,,,24,,,18,,,,,,,,,16,,7.7,0.1,,0.1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Point State Park,2011-04-29,39.218202,-76.418055,06:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,26.67,,,16.11,,21,,,,,,,1,,4,,,,8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-04-28,38.866854,-76.113227,,,,,25,,,19,,0.51,,,,,,,6,,6,0.5,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-04-27,38.866854,-76.113227,,,,,24,,,20,,0.81,,,,,,,10,,6,0.5,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-04-20,38.866854,-76.113227,,,,,17,,,16,,0.71,,,,,,,6,,5,1,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-04-18,38.866854,-76.113227,,,,,21,,,15,,0.45,,,,,,,5,,4,0.5,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Port Isobel,2011-04-16,37.832723,-75.977229,,,,,16,,,13,,44,,,,,,,17,,8,0,,0.25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-04-15,38.866854,-76.113227,,,,,17,,,15,,0.58,,,,,,,10,,7,0.5,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-04-15,38.866854,-76.113227,,,,,18,,,13,,0.66,,,,,,,7.3,,3,0.75,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-04-14,38.866854,-76.113227,,,,,15,,,17,,51,,,,,,,9,,8,0,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-04-14,38.866854,-76.113227,,,,,12,,,10,,0.6,,,,,,,5,,4,0.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-04-13,38.866854,-76.113227,,,,,10,,,1.6,,0.76,,,,,,,10,,2.5,0.5,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-04-10,38.866854,-76.113227,,,,,27,,,15,,0.54,,,,,,,10,,4.3,0.5,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-04-08,38.866854,-76.113227,,,,,24,,,18,,61,,,,,,,7,,6,0,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-04-06,38.866854,-76.113227,,,,,20,,,11,,0.64,,,,,,,8.3,,3.5,0.5,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-04-01,38.866854,-76.113227,,,,,9,,,9,,0.68,,,,,,,9,,5,0.5,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-03-29,38.866854,-76.113227,,,,,,,,9,,0.53,,,,,,,8,,1,0,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-03-28,38.866854,-76.113227,,,,,7,,,9,,0.48,,,,,,,9.5,,5,1,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-03-24,38.866854,-76.113227,,,,,7,,,10,,0.58,,,,,,,10,,7,0.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-03-17,38.866854,-76.113227,,,,,13,,,10,,0.38,,,,,,,6,,4,1,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-03-15,38.866854,-76.113227,,,,,12,,,10,,0.6,,,,,,,7,,4.5,1.5,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Western Branch Elizabeth River,2011-03-15,36.860833,-76.349722,06:00 pm,,,,9,,,8,,150,,,,,,,16,,9,,,,8.5,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-03-11,38.866854,-76.113227,,,,,10,,,11,,0.4,,,,,,,10,,4,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-02-04,38.866854,-76.113227,,,,,0,,,2,,0.6,,,,,,,5,,5,5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2011-01-14,38.866854,-76.113227,,,,,0,,,0,,1.19,,,,,,,10,,5,0.5,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-12-30,38.866854,-76.113227,,,,,7,,,3,,121,,,,,,,5,,6,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-12-17,38.866854,-76.113227,,,,,2,,,0,,30,,,,,,,12,,6,0.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-12-17,38.866854,-76.113227,,,,,2,,,0,,30,,,,,,,12,,6,0.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-12-17,38.866854,-76.113227,,,,,2,,,0,,30,,,,,,,12,,6,0.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Severn River at Arlington Echo Outdoor Educ. Center,2010-12-09,39.07129,-76.5865,06:00 pm,,,,3,,,2.7,,79.5,,,,clear,,,11.9,,14.05,0,,0,7.8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Severn River at Arlington Echo Outdoor Educ. Center,2010-12-09,39.07129,-76.5865,,,,,3,,,3.4,,79.5,,,,clear,,,11.8,,11.8,0,,0,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Karen Noonan Center dock,2010-11-23,38.22037,-76.038584,,,,,,,,12.2,,112,,,,,,,14,,9.1,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Severn River at Arlington Echo Outdoor Educ. Center,2010-11-18,39.07129,-76.5865,,,,,,,,11.7,,60.7,,,,,,,11.8,,7.03,1,,0,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Severn River at Arlington Echo Outdoor Educ. Center,2010-11-18,39.07129,-76.5865,,,,,,,,11.2,,141,,,,,,,12.1,,9.58,0,,0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Karen Noonan Center dock,2010-11-12,38.22037,-76.038584,,,,,,,,10,,,,,,,,,19,,12,4.4,,0.24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-11-11,38.866854,-76.113227,,,,,11,,,11,,1.07,,,,,,,15,,6,0.5,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East of Garrett Island,2010-11-10,39.560495,-76.081942,,,67.5,,16,,,11,,106.68,,,,clear,,,1,,9.4,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elizabeth River,2010-11-09,36.855833,-76.312778,,,,,,,,13,,130,,,,,,,21.5,,7,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-11-05,38.866854,-76.113227,,,,,11,,,17,,1.19,,,,,,,11,,4,0,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Warwick River,2010-11-04,37.0479,-76.364242,,,,,,,,12,,110,,,,,,,20,,8,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deep Creek,2010-10-28,37.01,-76.34,,,,,,,,21,,122,,,,,,,13,,7,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-10-26,38.866854,-76.113227,,,,,22,,,17,,119,,,,,,,11,,4,0,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Skip Jack Field Trip,2010-10-26,38.1107,-76.4679,,,,,,,,20,,,,,,muddy,,,15.5,,4,5,,1,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-10-23,38.866854,-76.113227,,,,,15,,,16,,60,,,,,,,15,,4,1,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Southeast Beach Port Isobel,2010-10-23,37.830835,-75.973023,,,,,,,,16,,76.2,,,,,,,22,,10.6,0,,0,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inner Harbor,2010-10-22,39.283004,-76.606024,,,,,16.67,,,17.5,,182.88,,,,clear but tea-colored,,,11.5,,6.33,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Urbanna Creek,2010-10-14,37.38,-76.32,,,,,,,,20,,137,,,,,,,15,,10,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,James River,2010-10-13,37.310615,-77.156199,,,,,,,,20.9,14.6,,,,,muddy,,,0.19,,8.72,0.25,,,8.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,James River,2010-10-13,37.310615,-77.156199,,,,,,,,20.4,6.2,48,,,,,,,0.2,,9.3,0.25,,,8.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 9,2010-10-13,38.570483,-76.036317,,,,,,,,18.8,,60,,,,,,,11.2,,9.1,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 10,2010-10-13,38.595767,-75.982283,,,,,,,,18.8,,40,,,,,,,10.9,,8.7,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 11,2010-10-13,38.630367,-75.97865,,,,,,,,18.8,,30,,,,,,,9.7,,8.8,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 13,2010-10-13,38.675683,-75.954683,,,,,,,,19.2,,30,,,,,,,6.7,,8.4,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 14,2010-10-13,38.696283,-75.982233,,,,,,,,19.5,,30,,,,,,,6.5,,8.8,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 15,2010-10-13,38.723417,-76.742,,,,,,,,19.4,,20,,,,,,,4.9,,8.4,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 16,2010-10-13,38.734767,-76.092,,,,,,,,19.1,,20,,,,,,,3.8,,7.5,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 17,2010-10-13,38.774083,-75.96775,,,,,,,,19.1,,20,,,,,,,2.3,,7.3,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inner Harbor,2010-10-09,39.283004,-76.606024,,,,,,,,20.3,,167.64,,,,,,,3.8,,5.5,0.2,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Port Isobel,2010-10-08,37.832723,-75.977229,,,,,,,,17.78,,57,,,,,,,23,,9,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-10-06,38.866854,-76.113227,,,,,20,,,15,,61,,,,,,,5.5,,4,1,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-09-30,38.866854,-76.113227,,,,,21,,,19,,56,,,,,,,10,,6,0.8,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lakeland,2010-09-25,39.076582,-76.59624,,,,,,,,22.8,,87.5,,,,,,,13,,1,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-09-24,38.866854,-76.113227,,,,,21,,,23,,0.63,,,,,,,11,,5,1,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Point State Park,2010-09-23,39.218202,-76.418055,06:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,,,,24.44,,26,,,,,,,10,,6,,,,8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Two-run Creek at footbridge,2010-09-21,38.782354,-76.70061,,,,,18,,,5,,125,,,,,,,0,,10.5,0.55,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-09-18,38.866854,-76.113227,,,,,16,,,20,,61,,,,,,,14,,5,1.5,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Point State Park,2010-09-17,39.218202,-76.418055,06:00 pm,"Audubon Watershed Experience 
National Audubon Society at Patterson Park",,,27.22,,,26.67,,45,,,,,,,10,,6,,,,8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-09-14,38.866854,-76.113227,,,,,25,,,23,,66,,,,,,,15,,4,0.5,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 9,2010-09-14,38.570483,-76.036317,,,,,,,,23.1,,100,,,,,,,11.8,,2.5,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 10,2010-09-14,38.595767,-75.982283,,,,,,,,23.2,,100,,,,,,,11.4,,3.1,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 11,2010-09-14,38.630367,-75.97865,,,,,,,,23.2,,80,,,,,,,10.8,,2.8,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 13,2010-09-14,38.675683,-75.954683,,,,,,,,23.4,,60,,,,,,,9,,2.9,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 14,2010-09-14,38.696283,-75.982233,,,,,,,,23.5,,60,,,,,,,7.9,,3.4,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 15,2010-09-14,38.723417,-76.742,,,,,,,,23.5,,60,,,,,,,7.7,,3.2,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 16,2010-09-14,38.734767,-76.092,,,,,,,,23.5,,60,,,,,,,7.2,,3.1,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 17,2010-09-14,38.774083,-75.96775,,,,,,,,23.5,,60,,,,,,,6.2,,2.9,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 12,2010-09-14,38.649583,-75.95595,,,,,,,,23.2,,60,,,,,,,10,,3.6,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R1,2010-09-01,38.884,-76.529,,,,,,,,28.35,,0.5,,,,,,,12.74,21.34,5.69,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pickering Creek Audubon Center,2010-09-01,38.866854,-76.113227,,,,,25,,,27,,55,,,,,,,13,,3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 9,2010-08-31,38.570483,-76.036317,,,,,,,,27.7,,90,,,,,,,10.8,,5.5,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 10,2010-08-31,38.595767,-75.982283,,,,,,,,27.6,,60,,,,,,,10.3,,5.3,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 11,2010-08-31,38.630367,-75.97865,,,,,,,,27.9,,60,,,,,,,9.3,,6.2,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 13,2010-08-31,38.675683,-75.954683,,,,,,,,28,,60,,,,,,,7.4,,6.6,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 14,2010-08-31,38.696283,-75.982233,,,,,,,,28,,60,,,,,,,6.8,,6.5,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 15,2010-08-31,38.723417,-76.742,,,,,,,,27.8,,60,,,,,,,6.4,,6.3,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 16,2010-08-31,38.734767,-76.092,,,,,,,,27.8,,60,,,,,,,6.1,,6.4,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 17,2010-08-31,38.774083,-75.96775,,,,,,,,28.2,,60,,,,,,,5.3,,6.3,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CR 12,2010-08-31,38.649583,-75.95595,,,,,,,,27.5,,60,,,,,,,8.4,,4.7,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
